step,day,hour,timestamp,photosynthesis_simulator_net_assimilation_rate,photosynthesis_simulator_gross_photosynthesis_rate,photosynthesis_simulator_respiration_rate,photosynthesis_simulator_light_use_efficiency,photosynthesis_simulator_co2_uptake_rate,photosynthesis_simulator_cumulative_carbon_gained,photosynthesis_simulator_daily_carbon_gained,photosynthesis_simulator_leaf_temperature,photosynthesis_simulator_temperature_stress_factor,photosynthesis_simulator_light_stress_factor,photosynthesis_simulator_step_count,photosynthesis_simulator_last_update
451,19,18,2025-09-29 00:13:21.775123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
452,19,19,2025-09-29 00:13:21.805404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
453,19,20,2025-09-29 00:13:21.836069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
454,19,21,2025-09-29 00:13:21.866601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
455,19,22,2025-09-29 00:13:21.896912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
456,19,23,2025-09-29 00:13:21.927360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
457,20,0,2025-09-29 00:13:21.957991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
458,20,1,2025-09-29 00:13:21.988192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
459,20,2,2025-09-29 00:13:22.018720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
460,20,3,2025-09-29 00:13:22.049168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
461,20,4,2025-09-29 00:13:22.079765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
462,20,5,2025-09-29 00:13:22.110334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
463,20,6,2025-09-29 00:13:22.140838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
464,20,7,2025-09-29 00:13:22.171458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
465,20,8,2025-09-29 00:13:22.201798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
466,20,9,2025-09-29 00:13:22.232072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
467,20,10,2025-09-29 00:13:22.262545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
468,20,11,2025-09-29 00:13:22.293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
469,20,12,2025-09-29 00:13:22.323500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
470,20,13,2025-09-29 00:13:22.354037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
471,20,14,2025-09-29 00:13:22.384514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
472,20,15,2025-09-29 00:13:22.415075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
473,20,16,2025-09-29 00:13:22.446508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
474,20,17,2025-09-29 00:13:22.477564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
